series,country,code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"ICT service exports (BoP, current US$)",Ecuador,ECU,61000000,96063930,97704377.94,102775555.1,100357625.6,80074903.23,75561690,97185000,196026955,169475977.3,161897970.4,159548563.6,143852476.4,125695914.9,110543419.1,88382004.19,66088747.25,42325902.06,
"ICT service exports (BoP, current US$)","Egypt, Arab Rep.",EGY,329000000,254300000,247900000,331800000,438100000,386900000,547100000,844900000,1829500000,1012600000,995700000,893600000,1083700000,949000000,1012500000,809900000,890100000,681900000,
"ICT service exports (BoP, current US$)",France,FRA,6926830577,8396582556,11635199511,12081834261,12609013194,14870384262,16148251233,16585266924,16004500230,14953183733,14104194840,15126703597,15863607121,16977855922,18920977757,17214809979,17340101140,18376229269,
"ICT service exports (BoP, current US$)",Germany,DEU,5075941594,6126259575,7033910840,8748049308,10683670446,11069605745,13410085798,16357196841,19265173820,18536370801,20877688177,23594695994,25334533731,27281681763,29042341177,29433492590,33994516275,37400463310,
"ICT service exports (BoP, current US$)",Greece,GRC,338300000,302000000,252139372.4,414348586.8,556839201.2,514808798.9,536425791.5,640595756.3,823863285.2,790552375.8,867520589.9,969642762,863870097.2,1005175687,1150338262,892677816.3,1007825622,1136423440,
"ICT service exports (BoP, current US$)",Hungary,HUN,189533339.3,270622370.4,324981974.5,451847121.2,614454656.4,673873249.4,846921213.4,1239896894,1742838965,1666286774,1655142417,1689745421,1629863237,1863159436,2025838893,1817860268,1929426593,2211485940,
"ICT service exports (BoP, current US$)",India,IND,5026788606,7959225790,9279016645,12360208421,16891146359,22657849759,30178659129,38665437673,50350511354,48384564109,54244241223,62087226109,67181997240,72256928539,74792869587,76368457308,76541497884,78518527935,
"ICT service exports (BoP, current US$)",Ireland,IRL,,,,,,20123909735,23536665014,30533648036,35914195297,34577799421,37896383393,44346619096,46690380333,52419591811,64248984936,,,79150528040,
"ICT service exports (BoP, current US$)",Iceland,ISL,,,,,,,,,,,,,,198603810.1,221715018.8,242045568.5,278563436.5,303955129.2,
"ICT service exports (BoP, current US$)",Israel,ISR,4421600000,3609800000,4317400000,3580500000,4540200000,4676800000,5494300000,6021200000,7111400000,7158400000,8594700000,11344600000,12382400000,12876100000,15047500000,15756400000,17020600000,20025600000,
"ICT service exports (BoP, current US$)",Italy,ITA,3449271543,4450633458,2823152919,5316748747,5673844416,6653570182,7591400387,8770929293,8461682317,7358549911,8136620607,8506700764,7857913450,8569295589,9910682005,8292660322,8620420687,9132803587,
"ICT service exports (BoP, current US$)",Japan,JPN,2391178890,2132452007,1880585500,1737211309,1496832054,1520883284,1401882184,1520014237,1599453367,1529219260,1781498394,1957062063,2321867137,2705895188,3198634058,3251898165,3858667955,5048940360,
"ICT service exports (BoP, current US$)","Korea, Rep.",KOR,257200000,239600000,192700000,193800000,226800000,294900000,724900000,899100000,946300000,882800000,1031300000,1318700000,1517800000,2157400000,2993900000,3501800000,3718900000,4300700000,
"ICT service exports (BoP, current US$)",Moldova,MDA,16030000,16560000,19690000,24300000,42500000,58400000,72060000,91530000,121740000,121880000,144380000,165900000,178790000,182990000,186000000,162030000,154390000,174530000,
"ICT service exports (BoP, current US$)",Morocco,MAR,113517909.1,168867046.1,231457802.4,249646519.7,341689206.6,327886705,387168406.7,401485866.9,787892443,917220489.1,1003096667,1140394197,1096403166,1142310070,1588253681,1436003561,1441266760,1492626586,
"ICT service exports (BoP, current US$)",Netherlands,NLD,2607666882,2718762515,2908474254,5472685543,7852170308,8351754508,8792748731,10718063626,12219301291,11461375131,11056346178,12281833324,12021913374,12664976717,13089349841,14636854256,15557300154,16501538588,
"ICT service exports (BoP, current US$)",Nepal,NPL,,,8084787.894,17171679.73,31769466.49,39700950.46,34669693.93,38158255.32,44562315.31,39119298.17,57811080.57,98366707.23,231296663.8,357289521.9,358919420,343833587.7,324641268,287693389.3,
"ICT service exports (BoP, current US$)",Nigeria,NGA,,,,,,20216899.47,23549170.24,26775062.79,29806729.06,36594535.02,47427593.28,49982906.09,50519510.54,51656660.86,53148115.3,78777815.6,117474277.2,289566781.6,
"ICT service exports (BoP, current US$)",Norway,NOR,865215499,800946672.8,541633097,617454211.7,822623247.2,1344648674,1603791280,1469099442,1628892856,1979822091,2520041268,2479531680,2293707038,2427803019,2347086050,2193372731,2349011289,2301477924,
"ICT service exports (BoP, current US$)",Pakistan,PAK,212000000,221000000,353000000,223000000,271000000,343000000,243000000,252000000,277000000,466000000,434000000,441000000,582000000,861000000,811000000,789000000,873000000,1004000000,
"ICT service exports (BoP, current US$)",Panama,PAN,33700000,43900000,37300000,72900000,117700000,135700000,172700000,234600000,249700000,273000000,326700000,349400000,307100000,310500000,315300000,285500000,300800000,293900000,
"ICT service exports (BoP, current US$)",Peru,PER,89811873,67151654.25,48219685.32,46322286.59,59839581.38,68718515.04,82055746.22,101770581.4,145248880,109712000,125254200,158179950,176440065.7,161625468.4,181842898.8,143689509.7,133665299.8,147909108.6,
"ICT service exports (BoP, current US$)",Paraguay,PRY,10000000,10800000,12400000,12200000,15400000,16400000,18400000,15600000,12400000,19400000,19900000,15400000,12400000,12400000,14400000,15400000,15400000,15400000,
"ICT service exports (BoP, current US$)",Poland,POL,295000000,285000000,263000000,377000000,470000000,474000000,755000000,1116000000,1487000000,1406000000,2012000000,2587000000,2880000000,3416000000,4225000000,4394000000,5322000000,6392000000,
"ICT service exports (BoP, current US$)",Portugal,PRT,225543393,226335064.8,286445129.4,430163728.9,542745245.1,626787253.2,773150383.6,1051315267,1202074760,999336308.6,940585029,1148641506,1203761252,1295447188,1554184678,1340768045,1480381247,1620510786,
"ICT service exports (BoP, current US$)",Philippines,PHL,258000000,350000000,415000000,461000000,520000000,653456159.6,1013213073,1365014671,1604028858,1897018492,2235907860,2768620264,3003175188,3335865497,3472350163,3460947517,5493167310,5761833048,
"ICT service exports (BoP, current US$)",Qatar,QAT,,,,,,,,,,,,114010989,410714285.7,239560439.6,378846153.8,542307692.3,634340659.3,617582417.6,
"ICT service exports (BoP, current US$)",Russian Federation,RUS,444520000,546740000,598660000,589170000,694820000,1041290000,1369330000,2281190000,3044530000,2550740000,2623790000,3101490000,3493560000,4163110000,4503620000,3933500000,3903720000,4652750000,
"ICT service exports (BoP, current US$)",Saudi Arabia,SAU,,,,,,192533333.3,244266666.7,245760000,222160000,205386666.7,293066666.7,263733333.3,307200000,297600000,358560000,252280000,272826666.7,338490666.7,
"ICT service exports (BoP, current US$)",Singapore,SGP,577622493.9,724107667.3,762654360.3,817250385.1,1052402190,1046805225,1560543761,1877842791,2597923353,2615374025,3543212668,4961058733,6715979687,7689363062,8059508307,9247867910,11635078216,11308869055,
"ICT service exports (BoP, current US$)",Slovenia,SVN,76500000,94800000,133600000,154200000,184100000,220800000,232820547.8,291381233,499504817.5,425580244.1,442047230.7,514926993,533055388.5,600155013.2,607122024,574942960.5,610071933,614395919.9,
"ICT service exports (BoP, current US$)",South Africa,ZAF,50050495.49,131954383.1,131425798.7,193574297.3,264507830.3,323205808.1,391729207.6,349917312.6,337552710.4,348614805.5,465155263.7,543499664.7,567794916.8,601194938.7,604743847.1,571737878.1,575632107,664502714.9,
"ICT service exports (BoP, current US$)",Spain,ESP,,,,,,,,,,,,,,11355839900,12596659387,10837792192,11716481362,12617514069,
"ICT service exports (BoP, current US$)",Switzerland,CHE,3869077954,3727842666,4130874237,4639740529,5630268545,5687667871,5644600304,5996757013,6854761052,7348452452,8140963730,9132214396,10166623437,10991218555,14074261978,13822126142,14087394971,13400824106,
"ICT service exports (BoP, current US$)",Sweden,SWE,1724100304,2230363917,2152440221,2634878850,3611251842,3948529696,4980073193,8114403521,9694993287,8843461932,8764745745,12655631631,12169911191,14938039069,16579912299,15755087033,14020036402,14261181698,
"ICT service exports (BoP, current US$)",Turkey,TUR,,,,224000000,346000000,412000000,428000000,577000000,738000000,645000000,479000000,469000000,434000000,328000000,290000000,211000000,158000000,323000000,
"ICT service exports (BoP, current US$)",United States,USA,12215000000,12828000000,12452000000,14060000000,14963000000,15515000000,17184000000,20193000000,23118000000,23817000000,25037000000,29171000000,32511000000,34417000000,34690000000,36578000000,38551000000,42218000000,
"ICT service exports (BoP, current US$)",United Kingdom,GBR,5794762105,6179671512,7016796350,10148794660,14468863464,14345706281,17257835203,19298151870,19356503798,18009364440,18850732259,20839581030,23539629334,23813556141,27469692834,26221041967,26345233569,26505843251,
"ICT service exports (BoP, current US$)",Uruguay,URY,37486000,43973264.97,36178350.66,26435300.41,87441408.73,100420420.8,141524428.9,172329229.3,204729709.5,176394880.1,207543061.9,212381122.5,240260875,258774836.9,305454598.1,309553207.1,353558206.2,378734818.1,
Secure Internet servers (per 1 million people),Albania,ALB,,,,,,,,,,,4.119434772,8.261063371,25.51371345,35.57745315,52.26533901,68.38608492,144.6402612,443.0203758,526.0998557
Secure Internet servers (per 1 million people),Algeria,DZA,,,,,,,,,,,0.361337399,0.490979024,1.230476649,1.782898916,2.414981911,3.826014507,7.619958115,63.32570155,67.60848243
Secure Internet servers (per 1 million people),Argentina,ARG,,,,,,,,,,,25.20321131,34.0268856,63.33076552,73.85742248,89.923716,123.2728413,735.0247651,1628.591391,1872.59091
Secure Internet servers (per 1 million people),Armenia,ARM,,,,,,,,,,,10.42637261,18.77256619,30.16404037,54.52818624,62.49135164,76.56672089,189.7044629,271.3248975,335.0525243
Secure Internet servers (per 1 million people),Australia,AUS,,,,,,,,,,,1402.793695,2171.394265,3187.899425,3505.125728,3938.58565,4574.110802,9810.215053,21544.79377,32903.58507
Secure Internet servers (per 1 million people),Austria,AUT,,,,,,,,,,,690.1496089,1068.443927,1613.40623,1857.468016,2345.327061,3081.907631,4449.980244,7431.714636,16705.01094
Secure Internet servers (per 1 million people),Azerbaijan,AZE,,,,,,,,,,,2.540220526,4.905657662,10.75756493,16.77852171,22.96782229,33.26652048,101.8670989,259.4876636,329.383846
Secure Internet servers (per 1 million people),Barbados,BRB,,,,,,,,,,,187.855996,247.3611862,292.5625661,383.4032136,477.4861757,574.7851565,643.8158687,768.6045984,868.6824285
Secure Internet servers (per 1 million people),Belgium,BEL,,,,,,,,,,,401.8140924,597.9201077,957.330071,1260.550852,1610.037312,2038.460215,3047.27862,8300.544045,13973.2428
Secure Internet servers (per 1 million people),Brazil,BRA,,,,,,,,,,,28.25045889,44.09295774,70.54639348,86.83026136,112.3376426,158.9608197,410.044364,1581.638554,2036.384009
Secure Internet servers (per 1 million people),Bulgaria,BGR,,,,,,,,,,,62.3343694,101.3836073,251.7147813,322.5000568,635.2490844,679.8559653,4043.451141,32308.32566,38223.85562
Secure Internet servers (per 1 million people),Cameroon,CMR,,,,,,,,,,,0.344128463,0.430490432,0.884326962,1.268271144,1.807612057,2.231915987,2.800237845,8.548384569,5.433007312
Secure Internet servers (per 1 million people),Canada,CAN,,,,,,,,,,,1282.697909,1641.936616,2146.094474,2362.885406,2697.825054,3386.894983,10221.44125,26566.66043,30953.21588
Secure Internet servers (per 1 million people),Chile,CHL,,,,,,,,,,,46.30026861,64.40915107,102.9289818,127.4221955,165.156077,223.9924832,1237.18578,7258.192401,8073.293196
Secure Internet servers (per 1 million people),China,CHN,,,,,,,,,,,1.199068554,1.957399954,3.775833923,5.156256907,9.759065288,19.68247254,47.91156662,209.120056,446.7068276
Secure Internet servers (per 1 million people),Colombia,COL,,,,,,,,,,,10.50357453,14.89167435,30.40572567,41.35726945,54.73798803,71.31633906,320.0032085,462.9755924,651.3364855
Secure Internet servers (per 1 million people),Croatia,HRV,,,,,,,,,,,117.7996972,172.6384624,313.0595999,396.8805051,500.661926,635.6450322,1724.580288,14607.96391,19554.81167
Secure Internet servers (per 1 million people),Czech Republic,CZE,,,,,,,,,,,305.5064677,470.0799002,834.6664878,1079.865539,1417.625471,2048.822219,11991.38925,25419.94205,42344.59537
Secure Internet servers (per 1 million people),Cyprus,CYP,,,,,,,,,,,275.9272774,406.2825326,1506.546871,980.8841245,2426.483032,2377.291696,4550.55474,17364.03092,6372.002876
Secure Internet servers (per 1 million people),Denmark,DNK,,,,,,,,,,,1588.050363,2368.158961,3064.433401,3458.456843,4349.802205,6004.944503,24041.33373,43757.82743,123154.4405
Secure Internet servers (per 1 million people),Ecuador,ECU,,,,,,,,,,,10.5921498,13.84161765,23.97554314,30.68602883,41.68798605,81.35938643,120.5497627,209.9448442,265.6231077
Secure Internet servers (per 1 million people),"Egypt, Arab Rep.",EGY,,,,,,,,,,,2.477005086,2.981216561,5.056568772,6.368444009,8.017724901,10.54709148,14.69606173,36.18733063,35.11353147
Secure Internet servers (per 1 million people),France,FRA,,,,,,,,,,,278.0515636,401.4062456,622.4660203,821.3496732,1188.969121,1898.471534,6688.017871,14831.36484,20421.44965
Secure Internet servers (per 1 million people),Germany,DEU,,,,,,,,,,,1049.317943,1471.903146,2194.90449,2601.183288,3352.786096,4297.925887,11624.9602,34181.27844,56406.62071
Secure Internet servers (per 1 million people),Greece,GRC,,,,,,,,,,,63.93113924,92.84190698,162.3357369,212.4902111,277.8080486,409.9480606,1411.844928,3695.693753,5035.367015
Secure Internet servers (per 1 million people),Hungary,HUN,,,,,,,,,,,167.6996143,217.8158307,393.1308152,515.4106678,668.1215608,926.5441488,4125.932862,13627.14174,19243.90245
Secure Internet servers (per 1 million people),India,IND,,,,,,,,,,,1.669797814,2.273074958,4.506302381,6.152183171,8.444708758,11.68795322,38.29568349,123.1015668,187.8077374
Secure Internet servers (per 1 million people),Ireland,IRL,,,,,,,,,,,959.3972135,1508.050944,2466.77217,2641.757371,2807.799491,3194.414581,11743.44184,38597.46707,69593.59121
Secure Internet servers (per 1 million people),Iceland,ISL,,,,,,,,,,,2333.032534,3269.44899,4580.376408,5522.54111,6576.334969,7611.50492,35663.71233,57638.32266,64762.23417
Secure Internet servers (per 1 million people),Israel,ISR,,,,,,,,,,,444.4094653,651.0597749,900.4487706,960.3573423,1008.678506,1304.99636,2119.588111,6967.624207,9611.946683
Secure Internet servers (per 1 million people),Italy,ITA,,,,,,,,,,,127.0635662,190.4025751,303.2933462,374.9878723,493.0650442,628.0196689,1305.100864,7744.061541,12257.96799
Secure Internet servers (per 1 million people),Japan,JPN,,,,,,,,,,,552.9007574,679.6210681,909.613019,1054.737338,1376.6696,1504.274782,2109.539994,5980.236099,11670.80142
Secure Internet servers (per 1 million people),"Korea, Rep.",KOR,,,,,,,,,,,175.3234928,208.5242503,268.327479,337.1083319,406.6080488,557.7188976,720.9992978,1198.942929,2065.122133
Secure Internet servers (per 1 million people),Moldova,MDA,,,,,,,,,,,13.27980871,24.12728296,45.4631612,58.76813592,82.9555995,127.3579747,660.9163612,3655.325756,3920.845484
Secure Internet servers (per 1 million people),Morocco,MAR,,,,,,,,,,,1.576829194,2.318356042,3.399324551,5.398079761,7.136099783,9.462374699,24.45461372,284.2785875,295.7328593
Secure Internet servers (per 1 million people),Monaco,MCO,,,,,,,,,,,786.2518252,1415.722851,2249.040044,3875.233734,4153.046461,5514.60841,7171.000788,9715.565743,10650.94876
Secure Internet servers (per 1 million people),Netherlands,NLD,,,,,,,,,,,2084.813637,3200.848448,4852.83106,5668.32607,7204.740134,9728.851778,24130.79407,70412.12761,100581.5238
Secure Internet servers (per 1 million people),Nepal,NPL,,,,,,,,,,,0.888454139,1.294309914,2.334209786,2.93484939,3.679350068,5.441415188,18.63459003,158.2502761,182.498702
Secure Internet servers (per 1 million people),Nigeria,NGA,,,,,,,,,,,0.643520143,0.952058797,1.734151398,2.223958838,2.993114103,3.549790544,47.39721608,222.8127116,184.2095617
Secure Internet servers (per 1 million people),Norway,NOR,,,,,,,,,,,1557.293426,2333.89756,3000.055992,3211.261938,3571.378517,4093.96973,7003.508823,14572.57273,20886.24895
Secure Internet servers (per 1 million people),Pakistan,PAK,,,,,,,,,,,0.590777272,0.796332107,1.281493538,1.714916837,2.452551261,3.409769604,31.66569761,115.0715794,109.1393008
Secure Internet servers (per 1 million people),Panama,PAN,,,,,,,,,,,133.9670414,166.4650829,232.5874975,258.1192182,328.863473,306.6659913,510.2700518,2151.325214,2141.55422
Secure Internet servers (per 1 million people),Peru,PER,,,,,,,,,,,10.36941506,14.79617601,24.77396049,29.28731043,37.55355661,46.33954666,72.52789495,218.5769966,257.3364007
Secure Internet servers (per 1 million people),Paraguay,PRY,,,,,,,,,,,6.081926754,8.525450681,14.94975015,23.6549111,33.18420141,40.51581567,61.67127382,186.8339036,248.4160958
Secure Internet servers (per 1 million people),Poland,POL,,,,,,,,,,,155.0096452,227.3846522,399.2836749,517.7418118,681.131761,955.8417889,2492.488363,6534.934485,16227.07194
Secure Internet servers (per 1 million people),Portugal,PRT,,,,,,,,,,,162.3932432,213.685738,358.2554339,422.6714461,535.522238,901.3256902,3180.296611,12464.78258,15977.32827
Secure Internet servers (per 1 million people),Philippines,PHL,,,,,,,,,,,5.044335881,7.05241884,11.7885907,12.47072565,16.10734708,20.94733833,40.5348333,87.84551937,92.85346025
Secure Internet servers (per 1 million people),Qatar,QAT,,,,,,,,,,,61.95029216,94.79971963,173.0360634,207.9968364,280.9859149,359.7444762,362.7974053,401.1415468,396.5233922
Secure Internet servers (per 1 million people),Russian Federation,RUS,,,,,,,,,,,17.09491841,28.86103661,57.57612368,79.73130508,120.3590613,321.4018459,1163.947701,3541.09719,5190.622286
Secure Internet servers (per 1 million people),Saudi Arabia,SAU,,,,,,,,,,,13.09193555,20.41200049,40.33587574,51.77602755,70.80248487,89.41389037,106.0951641,166.8018816,161.5729544
Secure Internet servers (per 1 million people),Singapore,SGP,,,,,,,,,,,531.6412212,927.9107848,1898.940166,2549.469714,2544.004048,3585.18389,19060.74653,58690.33345,84713.85836
Secure Internet servers (per 1 million people),Slovenia,SVN,,,,,,,,,,,333.8893274,499.3075457,967.3535201,1215.561714,1558.21104,2188.966388,5630.87821,19594.09366,33018.08096
Secure Internet servers (per 1 million people),South Africa,ZAF,,,,,,,,,,,52.07259064,82.32031845,142.6921923,173.1818274,221.8678179,272.7566515,917.6449631,9430.697312,12034.27741
Secure Internet servers (per 1 million people),Spain,ESP,,,,,,,,,,,207.0554421,265.0039641,403.6298249,488.330717,625.8487092,889.5715243,2762.559778,7247.039034,11302.76466
Secure Internet servers (per 1 million people),Switzerland,CHE,,,,,,,,,,,1449.601523,2439.083575,3486.493013,3954.955073,4897.999658,6938.08893,17196.72608,32951.99625,68154.75418
Secure Internet servers (per 1 million people),Sweden,SWE,,,,,,,,,,,1201.199472,1711.676941,2392.489254,2690.518781,3148.788535,4207.900534,6205.932933,13619.1204,18608.45384
Secure Internet servers (per 1 million people),Turkey,TUR,,,,,,,,,,,86.34397993,118.3080471,224.1436568,264.0113146,298.6718948,363.5325971,1301.086907,3351.870016,4335.133582
Secure Internet servers (per 1 million people),United States,USA,,,,,,,,,,,2481.759554,2986.520529,3842.268732,4304.028642,5130.919975,6360.933657,11439.71636,30350.78432,65864.17887
Secure Internet servers (per 1 million people),United Kingdom,GBR,,,,,,,,,,,1315.401967,1811.953149,2500.541011,2832.494803,3251.045342,4386.265118,8696.420463,21195.88532,27261.82097
Secure Internet servers (per 1 million people),United Arab Emirates,ARE,,,,,,,,,,,91.81299436,125.6318337,237.0483229,275.3886481,367.0431699,586.6413326,938.6837703,1285.099518,1483.964369
Secure Internet servers (per 1 million people),Uruguay,URY,,,,,,,,,,,35.72199358,58.47547028,84.34512962,113.8831529,157.9210183,186.1073637,309.8595498,1103.692379,1574.812737
Secure Internet servers (per 1 million people),Vietnam,VNM,,,,,,,,,,,2.29629867,3.679467271,9.042065839,14.17025676,20.323919,32.72653962,278.7094792,1348.715951,1769.471437
Individuals using the Internet (% of population),Albania,ALB,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,63.2529327,66.3634447,71.8470405,
Individuals using the Internet (% of population),Algeria,DZA,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808
Individuals using the Internet (% of population),Argentina,ARG,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7,68.04306411,70.96898082,74.29490687,
Individuals using the Internet (% of population),Armenia,ARM,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586,59.10083377,64.34602977,64.74488433,68.24505226
Individuals using the Internet (% of population),Australia,AUS,46.75611561,52.68926643,,,,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84,84.56051491,86.54,86.54504885,
Individuals using the Internet (% of population),Austria,AUT,33.73013295,39.18545018,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723
Individuals using the Internet (% of population),Azerbaijan,AZE,0.147757576,0.305564638,4.999713678,,,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564,77,78.2,79,79.79999549
Individuals using the Internet (% of population),Barbados,BRB,3.973678355,11.93645034,27.83632242,39.68962712,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16,76.11,79.54939789,81.76077839,
Individuals using the Internet (% of population),Belgium,BEL,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85,85.05294175,86.51647666,87.67968082,88.65506428
Individuals using the Internet (% of population),Brazil,BRA,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188,58.32795173,60.87254007,67.47128452,70.43428254
Individuals using the Internet (% of population),Bulgaria,BGR,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49,56.65625161,59.82554766,63.41010138,64.78201069
Individuals using the Internet (% of population),Cameroon,CMR,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4.3,5,7.5,10,16.21487223,20.68014766,23.20297197,23.20297197,
Individuals using the Internet (% of population),Canada,CAN,51.3,60.2,61.59329927,64.2,65.95596346,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16,92.70137191,
Individuals using the Internet (% of population),Chile,CHL,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11,76.62959195,83.55858602,82.32748693,
Individuals using the Internet (% of population),China,CHN,1.775913207,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,
Individuals using the Internet (% of population),Colombia,COL,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,62.25988032,64.12637682
Individuals using the Internet (% of population),Croatia,HRV,6.644882544,11.55857318,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.84503592,72.69726967,67.09619204,75.29462599
Individuals using the Internet (% of population),Czech Republic,CZE,9.780527888,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.4811987,78.71917285,80.68816754
Individuals using the Internet (% of population),Cyprus,CYP,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.71574092,75.9002054,80.74318897,84.43358252
Individuals using the Internet (% of population),Denmark,DNK,39.17243086,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.33050162,96.96778525,97.09936216,97.31920437
Individuals using the Internet (% of population),Ecuador,ECU,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,,
Individuals using the Internet (% of population),"Egypt, Arab Rep.",EGY,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433677
Individuals using the Internet (% of population),France,FRA,14.30792394,26.32590355,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75,78.00603771,79.26981132,80.50245972,82.04318678
Individuals using the Internet (% of population),Germany,DEU,30.2163466,31.65093942,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19,87.58979935,84.16520664,84.3941537,87.03711209
Individuals using the Internet (% of population),Greece,GRC,9.138837308,10.93502581,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21,66.83495949,69.08791547,69.89297065,72.23837339
Individuals using the Internet (% of population),Hungary,HUN,6.999676351,14.5285543,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,75.65319745,72.83473703,79.25941213,76.75054712,76.07436064
Individuals using the Internet (% of population),India,IND,0.52753245,0.660146377,1.537875582,1.686489971,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07,12.58006091,15.1,21,17,22,32,20.08130004
Individuals using the Internet (% of population),Ireland,IRL,17.85046724,23.13881219,25.85,34.31,36.99,41.61,54.82,61.15832455,65.34,67.38,69.85,74.88997297,76.91999254,78.2477,83.49172234,83.49479167,,84.11400706,84.52230206
Individuals using the Internet (% of population),Iceland,ISL,44.47053382,49.39299537,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.8196868,96.20979955,96.5468,98.16,98.2,98.2400163,98.25520119,99.01095399
Individuals using the Internet (% of population),Israel,ISR,20.87379,17.37862386,17.76459906,19.59339366,22.77048553,25.19404242,27.88107446,48.12806219,59.39,63.12,67.5,68.87387799,70.8,70.25031195,75.01775316,77.35208966,79.65312418,81.58118359,83.73315696
Individuals using the Internet (% of population),Italy,ITA,23.11087424,27.22211698,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.3899983,55.82999799,58.4593,55.63846022,58.14173496,61.32425277,63.077347,74.38718292
Individuals using the Internet (% of population),Japan,JPN,29.99074036,38.53206086,46.59420112,48.43526589,62.39392963,66.9210661,68.68527032,74.3,75.4,78,78.21,79.05411352,79.4964,88.21942891,89.10683302,91.05802839,93.18272128,91.72654724,91.28160849
Individuals using the Internet (% of population),"Korea, Rep.",KOR,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.75912015,84.07,84.77,87.55682649,89.8962558,92.84302568,95.06942188,96.02285958
Individuals using the Internet (% of population),Moldova,MDA,1.282846417,1.487812952,3.787242799,7.407544584,10.62939084,14.63027046,19.62064771,20.45,23.39,27.5,32.3,38,43.37,60,67,69.00000447,70.99999911,76.12451989,
Individuals using the Internet (% of population),Morocco,MAR,0.693791245,1.371438101,2.373253192,3.353366681,11.60793477,15.08444452,19.77119157,21.5,33.1,41.3,52,46.1074826,55.41605319,56,56.8,57.07999935,58.27123642,61.76221201,64.80386519
Individuals using the Internet (% of population),Monaco,MCO,42.18486345,46.64614236,48.04711717,49.49116892,52.49019668,55.46482606,61.47603971,64.3776824,67.25,70.1,75,80.3,87,90.7,92.4,93.36330202,95.20817797,97.05297684,
